1:		Team Unlimited
5706:	Reboot
5708:	VikingFIRST
5709:	Gators
5710:	Titans
5711:	LaGBotics
5713:	Crusader Robotics: Formula Matrix
5714:	Shambots
5717:	Team GEAR UP!
5718:	BestAlternative
5720:	Axolotl
5721:	Victorious Secret
5727:	Jaguars
5730:	Jaguars 2
5732:	Vetoed
5734:	Short Circuit
5736:	Stormbots
5738:	MoHawk Warriors
5739:	MoHawk Warriors
5741:	CVU RoboHawks
5746:	Test Subject 5746
5747:	Young Spartans
5751:	Rebelutionary
5754:	Marburn Academy Marbotics
5755:	Nano Slugs
5758:	Mech13375
5760:	Too Many Lies
5762:	Men In Black
5763:	RoboPanthers
5764:	Blue Sabers
5770:	Mustangs
5772:	Robo Knights
5773:	Ink and Metal
5774:	Robo  Dominators
5775:	Lions The Master Minds
5780:	Robotish
5795:	Back  To The Drawing Board
5800:	Lehman RoboLions
5801:	Rhody Girls
5802:	Team Green
5804:	Nuts and Bolts Extreme Robotics Team
5808:	Lil Tyre
5809:	Yobos
5810:	New Bees 
5815:	Disgruntled Robots
5817:	Chaos Order
5818:	BotteringRams
5822:	Bacon Bots
5826:	The Metal Ducks
5827:	Slice-o-Pi
5828:	E.M.P. Chaos
5830:	X2
5836:	Robot Repair
5860:	HardWired α (ALPHA)
5862:	TechnoTigers
5871:	Acme Robotics
5873:	Dragon Terminators
5874:	Congobots
5875:	GENIUS Girls Exploring New ideas Using Science
5878:	RoboHawk
5879:	Eagle Brainiacs
5880:	Mad Robotocists
5881:	Fractured Humorous
5882:	Double Trouble
5883:	Maverick Heavy Lifters
5886:	Double "O" 1 Pure Binary
5887:	RoboWarriors
5889:	Blitzkrieg Bots VISA Robotics
5890:	e-lemon-ators
5891:	Redneck Engineering
5892:	Future Bionic Innovations 
5893:	Direct Current
5894:	V-CUBE
5895:	The Ladybots
5896:	KART
5897:	HackHers
5898:	Lions
5899:	Heavy Metal
5900:	r3 inventors
5901:	DiBZ
5902:	Oompa Loompas
5904:	Crazy Bot
5905:	Camdenton 4-H LASER #1
5906:	Camdenton 4-H LASER #2
5908:	Camdenton 4-H LASER #4
5909:	Camdenton 4-H LASER #5
5910:	Sparks
5911:	Mean Green Machine
5912:	LBHS
5913:	Drop It Like It's Bot
5915:	Wildcats 
5916:	Bo-Bots
5917:	Acrobots
5919:	RegisOwls
5920:	Bulldogs
5921:	La Canada Engineering Club
5923:	Raptors
5925:	The WildBots
5926:	The Things
5927:	Hephaestians
5928:	Turing Machines
5931:	Cru-Botics
5933:	Legacy
5936:	Robo Squad
5937:	Renaissance Robotics
5938:	Loose Screws
5939:	Team AFOOFA
5940:	Rockin' Robots
5941:	St. Mary CyberCatz
5942:	Team Torch
5943:	Erector Sets Gone Mad
5944:	Live Wire
5948:	Arctic Eagles 2
5949:	Steel Wolves 2.0
5950:	Bio-Bots
5953:	Roarbotics
5954:	Lightning Boltz
5956:	Robo Warriors
5957:	Sonic Eagles
5959:	Alonns-y! Radioactive
5960:	Iron Dams
5961:	Vashon Royal Navy
5963:	Team Purple Thunder
5965:	Spartans
5966:	Bears
5967:	RoboHornets 
5968:	Westfield Robotics
5969:	Enginuity
5970:	Ambassadors
5971:	On Tardis Time
5972:	Patronum Bots
5973:	Lego Action Figures
5975:	CYBOTS
5976:	Brandon Tech
5977:	Cyberswat FTC
5978:	Falcobots
5979:	CyberStingers Blue
5980:	Titanium Tech Vikes
5981:	Robotic Brotherhood
5984:	Supersonics II
5985:	Marsupial Tech
5990:	The Ninja Armadillos
5991:	Tigerbytes
5995:	Scot Bots
5996:	Hyper Nike
5997:	SuperUsers
5998:	Purple Haze
5999:	Electric Eagles Engineering (E3)
6000:	Fabricators III
6001:	Lemon Drops
6002:	Basilisks
6003:	Techno Eagles
6004:	Robo Blazers
6006:	Tru Blu 2
6007:	Octopi
6010:	Thunder Stone
6012:	Septimo Automaton
6015:	ROBOCATS
6016:	Ironwolves
6018:	Platinum Devils
6020:	Red Raider Robotics
6021:	Martian Minds
6022:	TBD
6023:	ArchiSci
6024:	The Enterprisers
6025:	United Robotics
6027:	L.E.D. Empire
6029:	Robowiz
6032:	Rosie's Riveters
6033:	NESI
6035:	ST PETER MINUTEMEN QUANTUM SOLDIERS
6037:	W.A.G.S.
6038:	Rattlers
6040:	RBT-O-SR
6041:	Field Destruction
6042:	Commandobots
6043:	NC GEARS
6044:	Scavo Spartans
6045:	foobar
6046:	TekWolves
6047:	Twisted Axles
6049:	Firebots
6050:	Spartonics
6051:	Quantum Mechanics
6052:	Tiger Tron
6054:	int elligence;
6055:	GearTicks
6056:	N-Tech
6057:	Aagaa!
6058:	The 4 Roboteers
6059:	Awk4Ward
6060:	Kid Lightning
6063:	Iron Warriors
6064:	XSMI (Xavier Society for Mechanized Inquiry)
6067:	Fleming County High School
6068:	Robot Devils
6069:	Pingry Robotics
6070:	WO FORCE
6072:	WildBots
6073:	Robo Bubo
6074:	RAWALA (Robot Assemblers With A Long Acronym)
6075:	Brainstormers
6076:	Commodores
6077:	Syntax Error
6078:	Robo UN
6079:	Bionic Broncos
6080:	N.E.R.D.S.
6081:	I2R Robotics
6082:	Alt F4
6083:	Lightning Bots
6085:	Electro/Mechanically Controlled Chaos
6086:	Warriors
6088:	I-Bots
6090:	G360
6091:	Eagle robotics
6092:	Tech Warriors
6093:	Deviation from the Norm
6095:	PteroBytes
6096:	Draconem
6097:	Brick Squad
6099:	Gothombots
6100:	Chariots of Fire - Black
6101:	Energized Hazard
6102:	E=MK2
6103:	Power - Johnston Robotics
6107:	CraNeoNerds
6109:	Punabots
6110:	M.E.T.S.
6112:	Wolfbyte
6113:	WHO
6115:	P-TECH FTC Robotics
6116:	n/a
6119:	GeNxt Engines
6120:	Thunder Robotics
6121:	Cougarbots
6122:	Perdix Revenge
6123:	Mechanical Marauders
6124:	Geek Gods
6125:	N-K HS
6126:	AutoBytes
6127:	i-Bots
6128:	Dragons
6129:	Hancock 
6133:	The "NUTS"
6134:	Black Frogs
6135:	Southside Divas
6136:	RoboBear
6137:	RoBowties
6138:	Robot Unicorns
6139:	Schrodinger's Dragon
6140:	Robo Deuces
6141:	The Möb
6144:	Mario Brobots
6145:	Rusted Metal
6147:	Newbotics
6148:	Orange Pi RoBEARics
6149:	A-Team
6150:	Fractals
6151:	TaterBotz
6152:	ROBO TWO
6154:	Bot Masters
6156:	Robot Warriors
6158:	Spartabots
6163:	EC-PO
6165:	MSET Cuttlefish
6166:	N-Bot FTC 
6167:	CyberDawgs
6168:	Maniacal Mechanics
6169:	Maximum Entropy
6170:	Bunch of People
6171:	Big Red Robots
6173:	Global Dynamics C
6174:	Odyssey Automatons
6175:	BuffnBlue 2
6177:	RoboBuilders
6179:	Quantum Fusion 
6180:	Botman Begins
6181:	Boys in Black
6182:	RoboHawks
6183:	Thunderducks
6184:	MHS Tech Club
6185:	Menaul Panther Robotics
6186:	Senators
6187:	hound bots
6188:	Mount Si-Borgs
6189:	High Voltage
6190:	Red Alert Cyber Storm
6191:	Short Circuit
6193:	Electrical Invaders
6194:	PLUMBER
6195:	LC Robotics
6196:	Tux Dynasty
6198:	Mechanicalicious Aardvarks
6199:	Spartans
6200:	The Sidekicks
6201:	Bonzai
6202:	The Raiders
6203:	No, We Don't
6204:	7th Grade C
6205:	SCARLET
6206:	Ohms Olympians
6207:	Team Alpha
6208:	Team Ratzo
6209:	ViperBots Venom
6210:	ViperBots  Stryke
6215:	Team Beta
6217:	The Fellowship
6219:	Panther Bots Bravo
6220:	Swerve Sigma
6221:	Panther Bots Alpha
6222:	SaintBots
6223:	Evasive Robotics
6224:	Domo Inferno
6225:	Terabyte
6226:	Bambusa
6229:	K9
6230:	Robo Pups
6232:	Ctrl Alt Delete
6233:	TartanBots
6238:	Grubots
6242:	Bob the Builders
6244:	Aluminum Spartans
6245:	T Jaguars
6246:	Spartabot Hotel
6247:	Spartabot Echo
6248:	TJ Flying Foxes
6249:	Sparta Labs
6250:	Sigma Sparticus
6251:	Rad Lab TJHS
6252:	The League of Inquisitive Narwahls
6253:	Avalanche
6256:	The Leonardos
6257:	2Saints
6258:	Sem Robotics
6262:	TEAM OHM
6263:	Meta GAME
6264:	EXT STEEL 
6265:	The Scurvy Dogs
6266:	MRHS Elite 5
6268:	Robo Canes
6270:	Atomic Bulldog
6272:	Iron Eagles Prime
6273:	Technocats
6276:	HYPERON
6278:	C2RT
6279:	Robovengers
6280:	Fibonacci Falcons
6281:	Genetic Advantage
6282:	The Cooler Pistachios
6284:	RoboCavs
6285:	Statesbots
6286:	Falcon High Flyers
6287:	WARBOTS
6288:	Aviators
6289:	Robo Trojans
6290:	Tigers
6291:	Tigers 2
6295:	Wolverines
6297:	The Tourists
6298:	Broken Axles
6299:	ViperBots QuadX
6300:	Cube Squared
6301:	WASTE
6302:	T.R.O.N - Technological Robotics Organization of the Nation
6304:	Rambots
6306:	Tiborgs
6307:	Cary Astros
6308:	Hutzbots
6309:	Anti-Luddites
6311:	Robotic Knights
6312:	ROBOTIC NINJAS
6316:	The Crusaders 3
6318:	Extra-TETRIX-ials
6319:	Ro"Dawg"ics
6320:	The Mechanix
6321:	Robo Raiders
6322:	Poke'mon
6323:	The Pink Team
6324:	EF5-Tornadoes
6325:	Aluminati
6326:	ASE
6327:	Fetch
6328:	TigerBots
6329:	Digital Dogs
6330:	TechTitans
6331:	New Kids On The Block
6332:	RoboTitans
6333:	4H
6335:	KHS Hornets
6337:	Metal Marauders
6340:	Golden Hammer
6341:	Apex
6343:	Kingman Bionic Pups
6344:	Chargers
6347:	Geared Up
6350:	Robo ReVOLT
6352:	Iron Panda
6353:	Iron Panda
6354:	Code REB
6356:	ARC
6357:	Top Dogs
6358:	BSB Robotics
6359:	Bruin Bots
6360:	Black Knights
6361:	R2B2
6362:	The Terminators
6363:	Justice League
6364:	Pulsatrix
6365:	Legion of Doom
6366:	Blue Team
6369:	Designosaurs
6370:	Scouting Legion
6371:	Gear Gurus
6372:	Phylum Metallia
6373:	Parobots
6374:	Gizmologic
6375:	hIPer G33Ks / aka The Axis of Innovation
6376:	RAMBOTS
6377:	The Other Guys
6378:	Jaybots
6379:	Clockwork Mania
6380:	Kidz4Change 4-H Club
6381:	Adroits
6382:	Wizardly Robots
6383:	Big Blue Botics
6384:	Operation Phoenix
6385:	Bionic Mafia
6386:	Robo Crew
6387:	Brobots
6389:	The LazyBotts
6390:	Falcon 1
6394:	Omega Semicolon
6395:	Bionic Braves 
6398:	Cyber Rajahs
6399:	Bacon Bytes
6402:	Mariners
6405:	LalalalaLLamas
6406:	First Tech Coyotes
6407:	Mustangs
6408:	Falcons Robotics
6409:	Originals
6410:	Thunder
6411:	R.E.D H.O.R.S.E.
6412:	Huskr Bot
6415:	BazingaBots!
6417:	Explorers
6418:	NDCL Robotics
6420:	SabreHOOF Tigers
6421:	A.C.R.O.N.Y.M
6422:	Green Dragons
6423:	Robo Tigers1
6424:	'Oly Cow
6425:	Dino Bots
6426:	TBD
6427:	Wright Angle
6429:	Wired  ones
6430:	Digital Revolution
6431:	R.A.W. - The Rebel Alliance of Walpole
6433:	Neutrinos
6436:	RoboCats
6437:	Mad Hatters
6438:	Syborgs
6440:	The Metallic Controllers
6441:	Cincy Wolves
6442:	Cyberzon
6445:	Titanium Tigers
6446:	London Gentlemen
6448:	Blue Jays
6449:	Mechanical Bulls
6450:	Jaguars
6451:	Tarpon Robotics
6453:	Grizzly Griffs
6454:	Saints Robotics
6455:	MoHawk Warriors
6457:	Mean Machine
6458:	ShuffleBots
6459:	Terminator X
6460:	Robo Warriors
6461:	Panthers
6463:	Sehome Sea Monsters
6467:	SEVN
6471:	Panthers
6473:	Robo-Dynasty
6474:	Purple Platypi
6475:	Sanitize
6476:	Ausente De Mente
6479:	Stingbots
6480:	Lost Marbles
6481:	Stafford Robotics
6482:	Redstorm 
6483:	Curiosity
6484:	Robo-Barons
6485:	BEAR Bots
6486:	Nuts & Bolts
6487:	Team Alpha Omega
6492:	Beaver Bots
6493:	Cyber Colts
6494:	Control Freaks 2
6496:	SEP Nerd Herd
6497:	Red Ring
6499:	robo.jocks
6500:	AutomaDons
6501:	Cougarbots II
6502:	RamBots
6504:	Torque Omega
6506:	"Circuit Breakers"
6508:	Radioactive Raiders
6510:	CyberSharks
6512:	Robotigers Epsilon
6516:	ChargerBots
6517:	Socialbots
6518:	Scarlet and Gray Robot Army
6520:	Roborines
6521:	E-TEC
6522:	Equinox
6523:	Abeators
6524:	Woodland Wildcat What-Ch-Ma-Call-Its
6526:	Purple Dragons
6530:	ETC Robovengers
6532:	RoboBears
6534:	MECanism
6536:	Guardians
6537:	Benny And The Jets
6538:	Ben Robotics
6540:	Lincoln
6543:	Bronco
6544:	Frostbyte
6545:	Knight Riders
6546:	RoboCats
6547:	CAPS Cobalt Colts
6548:	Team Contagion
6549:	Whoa!Bots
6550:	JigaWatts
6551:	TigerHawks
6552:	Northeast High School
6553:	Technomancers
6555:	ACHS
6556:	Tempest
6557:	Nemonoid Robotics
6558:	Bionic Sharks
6559:	Geared Reaction
6560:	Matrix
6562:	Nightmare Robotics
6563:	Cyberbotic Independence Alliance (C.I.A.)
6564:	The Weeping Angles
6565:	Stuffed Dragons
6566:	Victory Robotics
6567:	Roboraiders
6568:	Eagles Robotics Xperience 2
6570:	Piradians
6571:	Cavaliers
6574:	Task Main
6577:	Bulldogs
6578:	Cyber Dragons
6582:	Raider Robotics
6583:	bionikats
6585:	Circuit Boardum
6586:	Warranty Voiders
6587:	Ctrl-Alt-FG
6588:	Scrap Metal
6589:	Robo Rage
6593:	Cobras
6595:	unknown at this time
6596:	Robotic Rams
6597:	Team Orange
6599:	The Pi Fighters
6600:	Ballen Pretzels Central Lyon
6602:	Notre Dame Academy
6603:	Lancers
6605:	Comets
6606:	Dobbins Force
6607:	Robot Frenzy
6608:	Hammerdillos
6609:	Cougars
6613:	Yaliens
6624:	Midgets
6625:	Enginerds
6632:	Girl Scouts FTC Team
6633:	Panthers
6634:	7th Grade F
6635:	Panthers
6636:	Robo Panthers
6637:	Creston High School 2
6638:	Roboholics
6640:	TBD
6644:	Elgin Purple
6645:	Maximum Annihalation
6646:	Team Derrick
6647:	JagNet
6650:	Hawks
6651:	Special Operations 
6652:	United
6654:	The Blockers
6655:	The Cubersons
6657:	GSNC LEGOtronettes
6660:	STEM Tronix
6661:	Star Robotics
6662:	Robo Falcons
6666:	Block Busters
6668:	PantherBot Omega
6669:	Team Omega
6670:	Ranger Replicants
6671:	Ranger Reactroids
6672:	Comets
6675:	Chargers
6676:	RoboLancers Crimson
6677:	Boyz2Bots
6678:	Pirate Robotics
6679:	Wolverine Bots
6681:	Panthers
6682:	Hunger Gamers
6683:	Bruin-Bots #2
6684:	Tech Cats
6685:	Downtown Magnets High SChool 
6686:	Jordan High School
6687:	Sun Valley High School
6688:	Version 4.2
6689:	RoboRockts 
6690:	Teal Tornadoes
6691:	Borderline Obsessed Technicians
6693:	Patriots
6695:	Frost Bots
6699:	Tempest
6700:	X BOTS
6701:	MAD Robotics
6702:	RoboBusters
6703:	Kiwi pi
6704:	Robo Bears
6705:	MotorBolts
6707:	Robotic Ninjas
6708:	King Engineers
6710:	Summation
6712:	Newberg Tigers
6713:	Aeterna
6716:	Ultra Lightning Cobra Strike Force
6717:	Redemption Dragons
6719:	Piotech
6721:	The Pink Panthers
6722:	Undecided
6723:	Apple Pi
6725:	Team Titanic 2.0
6727:	AutoBots
6728:	team pandamonium
6730:	Wildcats
6731:	Ringers
6732:	MoHawk Warriors
6733:	Hyper^3  (raised to the 3rd power)
6734:	Hornets
6735:	Team Medusa
6736:	Cyber-Comets
6738:	SCHS Robotics
6740:	Robotigers Lambda
6741:	Bulldog robotics
6744:	ThunderBots
6745:	RoboNerds
6746:	Maroons
6747:	TRANSFORMERS
6749:	Iron Penguins
6751:	V-Bots
6753:	PV Robotics
6757:	BeestBot
6761:	R.E.D.BOTS
6762:	N R G (Northwestern Robotics Gearheads)
6767:	Bobcat BOTZ
6769:	RoboViks
6770:	Canalmen
6771:	RoboYetis II
6772:	Momentum
6774:	JACC Los Gatos Locos
6775:	^^vv<><>BA
6780:	Y Not Robots2 
6794:	Falcon Physics
6798:	Wildcat Robotics
6799:	RoboWolves
6800:	Tiger Robotics
6802:	Angry Bot
6804:	Megatorr
6805:	AVID
6806:	BadgerBOTS Edgewood
6808:	Hawks
6809:	Patriots Robot
6811:	Hardcore Hard Drives
6813:	Deceptibots
6815:	KY Tech Paducah Center
6816:	Falcon Fury
6818:	Aimbot
6819:	Brotherhood of Steel
6820:	Team IMPACT
6821:	Coyotes
6830:	TEAM ROBO
6831:	Robo Bearcats
6832:	Iron Reign
6833:	Automatons
6834:	Plasma Robotics
6836:	PERK's Dirty Dozen
6837:	Cannon Cougars
6839:	Rockets
6840:	1st Period
6842:	Mechanical Mahem
6844:	Wolves
6847:	Ohm Boyz
6848:	Cuttlefish
6873:	Hexadecimal
6877:	Gear Heads 
6878:	Wolverines
6881:	Knights #1
6886:	MACTC AM
6888:	Robo Kats
6889:	Robo Crusaders
6891:	Warriors
6892:	Team Jonders
6896:	DJO Knights
6897:	Robot Dynasty
6899:	Blue Griffin
6900:	Robo Dogs
6901:	Droid Rage
6903:	Wall-E
6914:	DCIS robotics
6924:	Robot Club
6925:	Willamette Challenge 1
6928:	Westside
6929:	Data Force 6
6930:	Syntax Error 42
6931:	BrainSTEM
6932:	Tesla Lightning
6933:	Construction Zone
6934:	The TranSisters
6935:	PARADOX
6936:	CodeRunners
6937:	Ctrl+F8
6938:	Robotics & Programming Guild
6939:	Pandemonium2
6940:	Apollo19
6941:	Falcons
6942:	Pandemonium
6943:	Huskies
6944:	Sub Zero
6945:	System Overload
6946:	IMSA Power
6947:	Radioactive Robots
6948:	Eagles A
6949:	Eagles B
6950:	Bionic Builders
6951:	Cadets
6952:	MESA 1
6953:	MESA 2
6954:	CougarBots
6955:	RO Bo Vines
6956:	RoboWolves
6957:	YORK FALCONS
6958:	Techno
6959:	Fuzzy Logic
6960:	T.R.E.A.D.S.
6961:	The Radical Six
6962:	BuffnBlue1
6963:	BuffnBlue2
6964:	Igutech
6965:	WRA
6966:	MobsterBots
6967:	Cyber Rays
6968:	Polka Bots
6969:	RoboTigers
6970:	Riveter Robotics
6971:	Robo Panthers
6972:	I.C.E. Crew
6973:	The Amazon Warriors
6974:	League of Friendship and Perpetual Union
6975:	Arctic Eagles 1
6976:	Brandeis Bronc Botz - Nano
6977:	eTREC
6978:	Enviro Bots
6979:	Cyber Sharks
6980:	Bad Wolf
6981:	Hortonville Robotics
6982:	Jaisa Tech
6983:	Cougars
6984:	STEMpocalypse
6985:	Droid Rage Junior
6986:	Techno Teens
6987:	Hat Trix
6988:	CyberStingers Gold
6989:	Spartans
6990:	Brobots
6991:	MESA 3
6992:	MESA 4
6993:	System Upgrade
6994:	Robotic Pirates
6995:	Pirate Robots
6996:	Oncoming Storm
6997:	RoboRaiders
6998:	Robonauts
6999:	Peyton First Robotics
7000:	The Dragonflies
7001:	A-Team
7002:	Ninja Turtles
7003:	The Mean Machine
7004:	HSA Garland Robotigers
7005:	Highlands Not Found (Error 404)
7006:	Robotitans
7007:	Pink TechnoBots
7008:	Mckinley bots 2
7009:	Robowarriors
7010:	Desert Narwhals
7011:	Wigis
7012:	Error 404
7013:	Hot Wired
7014:	RoboCraft
7015:	Dragon Fire
7016:	Robo Wildcats
7017:	Dork Dynasty
7018:	MindFormers
7019:	The Wolfpack
7020:	Wildcats
7021:	Bionic Eagles
7022:	Robostangs
7023:	HexaSonics
7024:	young hawks
7025:	RAMS STEM
7026:	JDroids
7027:	Lowell Robotics
7028:	Amazing Girls Science
7029:	Bosco's Bots
7030:	RoboMinds
7031:	Battle Blazers
7032:	The Thunder Botz
7033:	Tech Attack
7034:	Singularity Technology
7035:	Radical Robots
7036:	Iron Men
7037:	Duck and Cover Robotics
7038:	Baran's Bots
7039:	Lord of the Bricks
7040:	CyberFalcons
7041:	Sharkbyte
7042:	Robo Hamsters
7043:	BHMS #1
7044:	Robowolverines
7045:	BLOWNFUSES
7046:	The Spartins
7047:	BHMS #2
7048:	BHMS #3
7049:	WHMS #1
7050:	West Hills Wendrick Warriors
7051:	Circuit Breakers
7052:	Full Metal Rajahs
7053:	The Minions
7054:	RTE
7055:	Cruzin' Comets
7056:	Cruzin' Comets 
7057:	Teslanators
7058:	Artificial Intelligence Recruits(AIR)
7059:	Teslatronics
7060:	RobotiX
7061:	SFIA_FTC_Team1
7062:	SFIA_FTC_Team2
7063:	BG Biobots
7064:	RoboRaiders
7065:	NBMS 
7066:	NBMS 2
7067:	NBMS 3
7068:	NBMS 4 
7069:	Reboot
7070:	High Tech Hilltoppers
7071:	EngiNerds
7072:	LiveWires
7073:	Cardinal Robotics
7074:	BOOC BOTS
7075:	Patriot Robots
7076:	Robotic Patriots
7077:	Xx
7078:	STEMBotics
7079:	Faltech
7080:	BACON
7081:	Team Avatar
7082:	Roboaztechs
7083:	Team Tundrabots
7084:	Royal Dragons
7085:	Circuit Breakers
7086:	Junior LLA Roadrunners
7087:	W.I.R.E.
7088:	Sparkle Bots
7089:	Cyborg Eagles
7090:	First Appalachian Robotics
7091:	ECHS
7092:	LLA Robo-Runners
7093:	RaiderBots
7094:	OVERLORDS
7095:	Sion Robotics
7097:	Clippers
7098:	Feisty Kittens
7099:	Five Star
7100:	Potato Catz
7101:	Team Geiss
7102:	Westfield Robotics 2
7103:	Ursa Feminam
7104:	Team 7104
7105:	TBD
7106:	Absolute Value
7107:	Onteora Engineers
7108:	Big Blue Botics
7109:	Gryffindor
7110:	The Element of Surprise
7111:	MIP
7112:	Broken Motors
7113:	DERPA
7114:	Robotics Anonymous
7116:	Robotic Cats
7117:	The Blockheads
7118:	Axis of Innovation
7119:	LARC (Lake Ave Robotics Club)
7120:	Bionica
7121:	Thunderhawks
7122:	Robo Bulldogs
7123:	Screws
7124:	Rockford RoboTech
7125:	Arrow Techs
7126:	Pine Eagle Charter School
7127:	THE TIN MINTS
7128:	Pioneer Ten
7129:	Robo Raiders
7130:	Royal Robots
7131:	Lions
7132:	Challengers
7133:	Salem Sabers
7134:	Mechanical Mayhem Makers
7135:	Hornets
7136:	Higg's Bosons
7137:	DST Sharks
7138:	Lapeer FTC
7139:	KHS Robotics
7140:	2 Liggett 2 Quit
7141:	Dawgs of Steel
7142:	iDogs
7143:	Tech-No-Logic
7144:	C.L.U.E.
7145:	Metal Heads
7146:	HaloBots
7147:	The Randomists
7148:	CHEC
7149:	Enforcers 
7150:	Techno Bots
7151:	LCA
7152:	Robot Squad
7153:	Extreme Bots
7154:	The Stonewallers
7155:	Quantum Potentials
7156:	SHPE Wolves #2
7157:	Robot Knights
7158:	TechKnow Difficulties 
7159:	Robo Ravens
7160:	Blazers
7161:	ViperBots Big Fang Fury
7162:	Singularity Robotics
7163:	Union 8th Grade Center
7164:	Falcons
7165:	Robotic Surge
7166:	The Hairy Eyeballs
7167:	Hawks
7168:	SRCA Royal Sages
7169:	HuskerBots
7170:	Go get 'em
7171:	R2D2
7172:	Technical Difficulties
7173:	?
7174:	APL-STEM
7175:	Walbots
7176:	Bionic Tigers
7177:	Coal Bustin Bots
7178:	Panda Wheelz
7179:	Bruins
7180:	Palominos 
7181:	D.E.C.E.N.T.
7182:	Mechanical Paradox
7183:	robobustersrobobusters
7184:	Robot Runners
7185:	Pirate Nation
7186:	USA atoms
7187:	Axis
7188:	Robo-Swagg
7189:	McKinley 5
7190:	Green Girls
7191:	Sprockettes
7192:	Bot Busters
7193:	South Spencer High School
7194:	South Spencer High School
7195:	TITANIUM TITANS
7196:	Robots-R-Us
7197:	FB Toxic Green Hornets
7198:	Cyborg Ferrets
7199:	Giants
7200:	Land of Cake and Robots (LOCAR)
7201:	Hoya Robotics
7202:	Travis Country Lego Robotics
7203:	KNO3
7204:	AFIA Robotics Team
7205:	Spegonauts
7206:	PWC 4H
7207:	M-Fusion
7208:	X Team
7209:	Tech Hogs Robotics Club
7210:	Black Mesa
7211:	TECH
7212:	Huskies
7213:	Matrix
7214:	The Cruzers
7215:	Turning Gears
7216:	NinjaSharks
7217:	Mechanicats
7218:	Ace Robotics
7219:	The Fatherboards
7220:	THE BLOCK HEADS
7221:	AMS
7222:	Robo Revenants
7223:	Lions
7224:	Cliffhangers
7225:	Mendez MESA
7226:	NWP
7227:	Scorpions Robotics
7228:	Stryke Force - Special Air Service
7229:	BZ Club
7230:	Atoms
7231:	Blue Plasma
7232:	Dyna-Bytes
7233:	Technicool
7234:	Cville-ized Botman
7235:	Wolvez Point
7236:	Recharged
7237:	Silver Lake
7238:	Cyber Bots
7239:	Mechanical Masters
7240:	Cyber eagles
7241:	Rock N Roll Robots
7242:	RoboCats
7243:	To Be Determined
7244:	OUT of the BOX
7245:	Big Green
7246:	Aces High Too
7247:	The Kings
7248:	The Dusty Dolphins
7249:	Wahawks
7250:	Wahawks 2
7251:	Comets
7252:	EVIL CROUTON
7253:	Raging Robots
7254:	N.E.R.D.S. (Neurotic Energetic Robot Dragon Slayers)
7255:	Dream Team
7256:	Catalysts
7257:	Undecided
7258:	EHS 1
7259:	EHS 2
7260:	NHS 1
7261:	NHS 2
7262:	Alt Ed
7263:	TechnoKnights
7264:	Waterford HIGH VOLTAGE:  team RESISTANCE
7265:	Gear Grinders
7266:	Dragonettes
7267:	Robot Warriors
7268:	MAEA
7269:	CMIT FTC Team
7270:	Wolves
7271:	Wildcats I
7272:	Wildcat II
7273:	Pir2ates
7275:	Rock 'em Sock 'em Robots
7276:	Waterford HIGH VOLTAGE:  team CURRENT
7277:	RoboSpartans
7278:	LibraryBots
7279:	Yellow Jackets
7280:	BMS
7281:	Metallicanauts
7282:	The Copyrights
7283:	Unknown 1
7284:	Teen Connection
7285:	BMS
7286:	XX
7287:	Rebel Robots
7288:	RoboGlaciers
7289:	Genius
7290:	JagWires
7291:	TBD
7292:	TechnoHawks
7293:	Troopers Gold
7294:	Tesla Pandas
7295:	tokabot
7296:	HuskyBots
7297:	LiMITless
7298:	Polar Bots
7299:	T-Wolf
7300:	Ashebots
7301:	Tigers
7302:	HPA Eagles
7303:	RoboAvatars
7304:	Electro Bulldogs
7305:	GearCats
7306:	Kaizen
7307:	Bionic Hybrids
7308:	TechnoChic
7309:	Metal Hornets
7310:	Team Aquila
7311:	Terrier Byte Bots
7312:	Terrier Byte Bots
7313:	Eagle Robotics
7314:	Sab-BOT-age
7315:	Reformation Raiders
7316:	Iron Panthers
7317:	Quest Gators 
7318:	Phoenix Gears
7319:	Lawbots
7320:	Tiger Nova 7320
7321:	Tarpon Robotics Team Graphene
7322:	Mechanical Mountain Lions
7323:	Trojan Transducers
7324:	Fighting Irish
7325:	Screaming Eagles
7326:	W.A.L.D.O. Robots
7327:	NX36T
7328:	I. C. E.
7329:	Centinels
7330:	Overlake FTC
7331:	Scibots
7332:	DodgerBOTS
7333:	Combustible Lemons
7334:	Terabytes
7336:	Hawks
7337:	Robotium
7338:	Iron Dogs
7339:	Think Outside the Block
7340:	The Metools
7341:	F.R.E.N.C.H. F.R.I.E.S.
7342:	Hibernotics
7343:	Fire
7344:	THS FTC Team
7345:	Epic-A-Neers
7346:	Mustachio Peanuts
7347:	Team Daedalus
7348:	NW  BC
7349:	The Techno Chix II
7350:	Watts NXT?
7351:	Dynamic Signals
7352:	N.E.R.D.S.
7353:	Master Minds
7354:	SMOKE
7355:	UB STEP Stampede
7356:	21st Century Bulldogs
7357:	Team Titanium Tech
7358:	Ares Rovers 2
7359:	S.W.A.T.
7360:	Robo YOLO!
7361:	Ctrl-Alt-Delete
7362:	Cougars
7363:	Electric Knights
7364:	MindBot Maniacs
7366:	The Heroes
7367:	McNicol Engineers
7368:	Python
7369:	SSA Phoenix Golden Eagles 
